nFID	lat	lon	location	name	last_at	time	city	gender	id	followers_count	friends_count	statuses_count	created_at	domain	status_id	status_text
55304	22.96248	113.21417	广东 广州	___都都都都都爱人	2014/5/2 0:00	0:00:00	1	f	3798672030	49	64	206	Sat Sep 14 15:06:03 +0800 2013		3.76527E+15	转发微博
55303	23.03679	113.15618	广东 惠州	5文浩	2014/5/2 0:00	0:00:00	13	m	2476584350	263	248	10	Tue Oct 18 20:11:26 +0800 2011		3.76827E+15	@_梁振豪 @李豪杰1- @廖_梓诺 //@李豪杰1-:@楊_宇锋 @5文浩 @廖栩健A
117722	23.1593	113.25669	广东 广州	AAA百潮	2014/5/2 0:00	0:00:00	1	f	5114808364	102	89	246	Mon Apr 21 00:39:12 +0800 2014		3.765E+15	来看看我拍的MV：“#随手拍#看我不短不粗的腿腿腿腿??????”，点此播放>> http://t.cn/R774Ga0（通过 #美拍# 录制）
117717	23.17365	113.25466	广东 广州	AIunH妮妮	2014/5/2 0:00	0:00:00	1	f	3161858247	77	181	14	Sun Jan 20 17:30:35 +0800 2013		3.76564E+15	[嘻嘻][嘻嘻][嘻嘻][嘻嘻][爱你][爱你]每天會讓你知道我的存在。[亲亲][亲亲][心][心][耶][耶] http://t.cn/R7wXNDO
109721	23.12201	113.81036	广东 东莞	Betty--chan	2014/5/2 0:00	0:00:00	19	f	1874588882	332	262	374	Fri Nov 12 18:59:54 +0800 2010		3.76766E+15	[爱你]
163074	23.12201	113.81036	广东 东莞	Betty--chan	2014/5/2 0:00	0:00:00	19	f	1874588882	331	262	374	Fri Nov 12 18:59:54 +0800 2010		3.76766E+15	[爱你]
92876	23.11796	113.40131	广东 广州	biraphy	2014/5/2 0:00	0:00:00	1	f	2464571602	273	992	1188	Thu Oct 13 15:27:10 +0800 2011		3.758E+15	轉發微博
81547	23.10322	113.29864	广东 汕头	CDRui_Claire	2014/5/2 0:00	0:00:00	5	m	1761579562	424	498	1610	Sun Jun 13 17:04:59 +0800 2010		3.76609E+15	值得一看！//@乐瓶子__:轉發微博
55301	23.03494	113.14353	广东 佛山	chengzichen	2014/5/2 0:00	0:00:00	6	f	2860183814	71	245	289	Wed Jul 04 19:12:39 +0800 2012		3.76738E+15	转发微博
92889	23.11035	113.40643	广西 梧州	Double要瘦到95斤	2014/5/2 0:00	0:00:00	4	f	1732895803	1025	279	5273	Sat May 01 18:20:10 +0800 2010		3.76824E+15	想起之前冷战三天，都还天天给我煮饭，晚上给我盖被子
81550	23.06483	113.31466	广东 广州	HeSxXo	2014/5/2 0:00	0:00:00	1	f	3601054940	52	265	20	Mon Jul 08 11:01:02 +0800 2013		3.76485E+15	转发微博
