nFID,lat,lon,location,name,last_at,time,city,gender,id,followers_count,friends_count,statuses_count,created_at,domain,status_id,status_text
1,22.48802,112.98149,广东 江门,勤学-脩,2014/7/6 0:00,0:00:00,7,m,2683639521,108,116,403,Tue Mar 27 11:14:08 +0800 2012,,3.75683E+15,现在的我后悔了，不能回去了。。。
2,22.62176,112.99233,广东 江门,倩倩仪仪L,2014/7/6 0:00,0:00:00,7,f,3096633195,132,208,404,Thu Nov 08 20:05:05 +0800 2012,,3.77037E+15,//@江门吃喝玩乐:这8种肉最好别吃，有害！[衰]
581,22.60259,113.11843,广东 江门,丨一CruelAngel一丨,2014/7/6 0:00,0:00:00,7,m,3300744671,55,10,165,Fri May 10 06:59:07 +0800 2013,,3.75512E+15,少玩了[吃惊][吃惊][吃惊] http://t.cn/zQeV4ZE
582,22.5839,113.09529,广东 江门,Vellan_Chan,2014/7/6 0:00,0:00:00,7,m,1807866057,220,393,736,Thu Sep 02 07:49:42 +0800 2010,lunkid,3.76572E+15,"谢谢你！给了我一个这么特别的生日，用这样的方法""庆祝""生日.真的要特别感谢您 http://t.cn/R7w13sj"
583,22.60725,113.08361,广东 中山,CHEERFULBEGINNING,2014/7/6 0:00,0:00:00,20,m,3263542680,12,126,1359,Sat Mar 16 00:32:12 +0800 2013,,3.7574E+15,足不出户的一天，让我把凳子坐穿，。想的再多又如何，已经尽力了，好好过自己的日子吧 http://t.cn/Rhpy0Q9
2422,22.59424,113.18094,四川,下一站幸福3367166132,2014/7/6 0:00,0:00:00,1000,f,3367166132,22,52,25,Fri Apr 26 14:00:24 +0800 2013,,3.72912E+15,我还以为他今年完不成呢！ 我在:http://t.cn/Rvr3SSi
2423,22.58032,113.22154,广东 梅州,劉勇威_2024,2014/7/6 0:00,0:00:00,14,m,1826018190,388,64,1645,Wed Sep 22 20:07:25 +0800 2010,,3.77031E+15,牛逼！！//@厦门新闻频道:【#神一样的停车#车主现身！现场把车开出[lt切克闹]】车子长4.27米却能停进长4.68米，宽1.82米的有限空间内，你做得到吗？那么问题来了，停车技术哪家强？戳视频：http://t.cn/R7Xkg4O
3802,22.5676,113.28649,广东 中山,沙啦猪仔,2014/7/6 0:00,0:00:00,20,m,2590076060,33,229,38,Tue Dec 06 08:16:06 +0800 2011,,3.74009E+15,#微信主题助手#微信终于可以换主题啦，一键给微信换装，超赞主题设计。99%的人都不知道的功能喔！iOS7.1.1越狱必备插件！使用方式请戳->http://t.cn/RP6e66S 
4633,22.51059,113.3861,广东 潮州,谢昭渠,2014/7/6 0:00,0:00:00,51,m,2164609983,142,101,420,Sun Jun 05 21:50:16 +0800 2011,xiezhaoqu,3.77034E+15,明天出差广州，上午干活，下午没事，谁有空？[来][来][来][来][来][来][来]
6310,22.54269,113.46492,其他,久了便遗忘,2014/7/6 0:00,0:00:00,1000,f,3812292859,23,51,88,Mon Sep 23 23:30:31 +0800 2013,,3.75389E+15,你说谎的样子真迷人，
