nFID	lat	lon	location	name	last_at	time	city	gender	id	followers_count	friends_count	statuses_count	created_at	domain	status_id	status_text
55304	22.96248	113.21417	¹ã¶« ¹ãÖÝ	___¶¼¶¼¶¼¶¼¶¼°®ÈË	2014/5/2 0:00	0:00:00	1	f	3798672030	49	64	206	Sat Sep 14 15:06:03 +0800 2013		3.76527E+15	×ª·¢Î¢²©
55303	23.03679	113.15618	¹ã¶« »ÝÖÝ	5ÎÄºÆ	2014/5/2 0:00	0:00:00	13	m	2476584350	263	248	10	Tue Oct 18 20:11:26 +0800 2011		3.76827E+15	@_ÁºÕñºÀ @ÀîºÀ½Ü1- @ÁÎ_è÷Åµ //@ÀîºÀ½Ü1-:@—î_Óî·æ @5ÎÄºÆ @ÁÎèò½¡A
117722	23.1593	113.25669	¹ã¶« ¹ãÖÝ	AAA°Ù³±	2014/5/2 0:00	0:00:00	1	f	5114808364	102	89	246	Mon Apr 21 00:39:12 +0800 2014		3.765E+15	À´¿´¿´ÎÒÅÄµÄMV£º¡°#ËæÊÖÅÄ#¿´ÎÒ²»¶Ì²»´ÖµÄÍÈÍÈÍÈÍÈ??????¡±£¬µã´Ë²¥·Å>> http://t.cn/R774Ga0£¨Í¨¹ý #ÃÀÅÄ# Â¼ÖÆ£©
117717	23.17365	113.25466	¹ã¶« ¹ãÖÝ	AIunHÄÝÄÝ	2014/5/2 0:00	0:00:00	1	f	3161858247	77	181	14	Sun Jan 20 17:30:35 +0800 2013		3.76564E+15	[ÎûÎû][ÎûÎû][ÎûÎû][ÎûÎû][°®Äã][°®Äã]Ã¿Ìì•þ×ŒÄãÖªµÀÎÒµÄ´æÔÚ¡£[Ç×Ç×][Ç×Ç×][ÐÄ][ÐÄ][Ò®][Ò®] http://t.cn/R7wXNDO
109721	23.12201	113.81036	¹ã¶« ¶«Ý¸	Betty--chan	2014/5/2 0:00	0:00:00	19	f	1874588882	332	262	374	Fri Nov 12 18:59:54 +0800 2010		3.76766E+15	[°®Äã]
163074	23.12201	113.81036	¹ã¶« ¶«Ý¸	Betty--chan	2014/5/2 0:00	0:00:00	19	f	1874588882	331	262	374	Fri Nov 12 18:59:54 +0800 2010		3.76766E+15	[°®Äã]
92876	23.11796	113.40131	¹ã¶« ¹ãÖÝ	biraphy	2014/5/2 0:00	0:00:00	1	f	2464571602	273	992	1188	Thu Oct 13 15:27:10 +0800 2011		3.758E+15	ÞD°lÎ¢²©
81547	23.10322	113.29864	¹ã¶« ÉÇÍ·	CDRui_Claire	2014/5/2 0:00	0:00:00	5	m	1761579562	424	498	1610	Sun Jun 13 17:04:59 +0800 2010		3.76609E+15	ÖµµÃÒ»¿´£¡//@ÀÖÆ¿×Ó__:ÞD°lÎ¢²©
55301	23.03494	113.14353	¹ã¶« ·ðÉ½	chengzichen	2014/5/2 0:00	0:00:00	6	f	2860183814	71	245	289	Wed Jul 04 19:12:39 +0800 2012		3.76738E+15	×ª·¢Î¢²©
92889	23.11035	113.40643	¹ãÎ÷ ÎàÖÝ	DoubleÒªÊÝµ½95½ï	2014/5/2 0:00	0:00:00	4	f	1732895803	1025	279	5273	Sat May 01 18:20:10 +0800 2010		3.76824E+15	ÏëÆðÖ®Ç°ÀäÕ½ÈýÌì£¬¶¼»¹ÌìÌì¸øÎÒÖó·¹£¬ÍíÉÏ¸øÎÒ¸Ç±»×Ó
81550	23.06483	113.31466	¹ã¶« ¹ãÖÝ	HeSxXo	2014/5/2 0:00	0:00:00	1	f	3601054940	52	265	20	Mon Jul 08 11:01:02 +0800 2013		3.76485E+15	×ª·¢Î¢²©
